"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"m6",0,0,10,1,0,16,"mix_cbd_rh",20
"m6",0,0.043,1,1,0,16,"mix_cbd_rh",20
"rh",0,0.022,1,5.83886337816487e-126,0,16,"mix_cbd_rh",20
"rh",0,0,5,5.83886337816487e-126,0,16,"mix_cbd_rh",20
"rh",0,0,10,5.83886337816487e-126,0,16,"mix_cbd_rh",20
"apc",1,1,10,1.22042627305463e-95,0,17,"mix_cbd_rh",20
"apc",0.306,0.378,1,1.22042627305463e-95,0,17,"mix_cbd_rh",20
"apc",0.821,0.972,5,1.22042627305463e-95,0,17,"mix_cbd_rh",20
"cbd",0,0,10,2.94498387130032e-28,0,17,"mix_cbd_rh",20
"cbd",0.025,0,5,2.94498387130032e-28,0,17,"mix_cbd_rh",20
"cbd",0,0,1,2.94498387130032e-28,0,17,"mix_cbd_rh",20
"lc",0,0,1,5.33303353409026e-133,0,17,"mix_cbd_rh",20
"lc",0,0,5,5.33303353409026e-133,0,17,"mix_cbd_rh",20
"lc",0,0,10,5.33303353409026e-133,0,17,"mix_cbd_rh",20
"m6",0.132,0.028,5,1,0,17,"mix_cbd_rh",20
"m6",0,0,10,1,0,17,"mix_cbd_rh",20
"m6",0.694,0.606,1,1,0,17,"mix_cbd_rh",20
"rh",0,0.016,1,1.8556092414013e-127,0,17,"mix_cbd_rh",20
"rh",0.022,0,5,1.8556092414013e-127,0,17,"mix_cbd_rh",20
"rh",0,0,10,1.8556092414013e-127,0,17,"mix_cbd_rh",20
"apc",0.908,1,10,4.70159071076761e-97,0,18,"mix_cbd_rh",20
"apc",0.393,0.168,1,4.70159071076761e-97,0,18,"mix_cbd_rh",20
"apc",0.701,1,5,4.70159071076761e-97,0,18,"mix_cbd_rh",20
"cbd",0,0,10,1.70786256740758e-40,0,18,"mix_cbd_rh",20
"cbd",0.086,0,5,1.70786256740758e-40,0,18,"mix_cbd_rh",20
"cbd",0,0,1,1.70786256740758e-40,0,18,"mix_cbd_rh",20
"lc",0,0.207,1,1.75537860120786e-131,0,18,"mix_cbd_rh",20
"lc",0,0,5,1.75537860120786e-131,0,18,"mix_cbd_rh",20
"lc",0,0,10,1.75537860120786e-131,0,18,"mix_cbd_rh",20
"m6",0,0,5,1,0,18,"mix_cbd_rh",20
"m6",0.092,0,10,1,0,18,"mix_cbd_rh",20
"m6",0,0.07,1,1,0,18,"mix_cbd_rh",20
"rh",0.606,0.555,1,3.14584477340315e-127,0,18,"mix_cbd_rh",20
"rh",0.213,0,5,3.14584477340315e-127,0,18,"mix_cbd_rh",20
"rh",0,0,10,3.14584477340315e-127,0,18,"mix_cbd_rh",20
"apc",1,1,10,4.50746660324906e-91,0,19,"mix_cbd_rh",20
"apc",0.921,0.684,1,4.50746660324906e-91,0,19,"mix_cbd_rh",20
"apc",0.999,1,5,4.50746660324906e-91,0,19,"mix_cbd_rh",20
"cbd",0,0,10,2.02310826711584e-41,0,19,"mix_cbd_rh",20
"cbd",0,0,5,2.02310826711584e-41,0,19,"mix_cbd_rh",20
"cbd",0.05,0,1,2.02310826711584e-41,0,19,"mix_cbd_rh",20
"lc",0,0.002,1,1.59593217071422e-124,0,19,"mix_cbd_rh",20
"lc",0.001,0,5,1.59593217071422e-124,0,19,"mix_cbd_rh",20
"lc",0,0,10,1.59593217071422e-124,0,19,"mix_cbd_rh",20
"m6",0,0,5,1,0,19,"mix_cbd_rh",20
"m6",0,0,10,1,0,19,"mix_cbd_rh",20
"m6",0.029,0.308,1,1,0,19,"mix_cbd_rh",20
"rh",0,0.006,1,1.09829996096135e-126,0,19,"mix_cbd_rh",20
"rh",0,0,5,1.09829996096135e-126,0,19,"mix_cbd_rh",20
"rh",0,0,10,1.09829996096135e-126,0,19,"mix_cbd_rh",20
"apc",0.038,0,10,6.07278132015347e-97,0,20,"mix_cbd_rh",20
"apc",0.97,0.749,1,6.07278132015347e-97,0,20,"mix_cbd_rh",20
"apc",0.618,0.998,5,6.07278132015347e-97,0,20,"mix_cbd_rh",20
"cbd",0.003,0,10,4.82370070820515e-52,0,20,"mix_cbd_rh",20
"cbd",0.361,0.002,5,4.82370070820515e-52,0,20,"mix_cbd_rh",20
"cbd",0,0,1,4.82370070820515e-52,0,20,"mix_cbd_rh",20
"lc",0.028,0.021,1,3.03627103274354e-134,0,20,"mix_cbd_rh",20
"lc",0.022,0,5,3.03627103274354e-134,0,20,"mix_cbd_rh",20
"lc",0,0,10,3.03627103274354e-134,0,20,"mix_cbd_rh",20
"m6",0,0,5,1,0,20,"mix_cbd_rh",20
"m6",0.96,1,10,1,0,20,"mix_cbd_rh",20
"m6",0,0.158,1,1,0,20,"mix_cbd_rh",20
"rh",0.002,0.072,1,2.20778178254327e-132,0,20,"mix_cbd_rh",20
"rh",0,0,5,2.20778178254327e-132,0,20,"mix_cbd_rh",20
"rh",0,0,10,2.20778178254327e-132,0,20,"mix_cbd_rh",20
"apc",0.804,1,10,3.82838280133112e-92,0,21,"mix_cbd_rh",20
"apc",0,0.076,1,3.82838280133112e-92,0,21,"mix_cbd_rh",20
"apc",0.921,1,5,3.82838280133112e-92,0,21,"mix_cbd_rh",20
"cbd",0,0,10,1.14013231989727e-42,0,21,"mix_cbd_rh",20
"cbd",0.079,0,5,1.14013231989727e-42,0,21,"mix_cbd_rh",20
"cbd",0.126,0,1,1.14013231989727e-42,0,21,"mix_cbd_rh",20
