c,g_t_x
1934,0.1577557275263426
1935,0.15440891872864013
1936,0.13853852276345527
1937,0.1231402544007422
1938,0.10603725052875054
1939,0.09157232303325354
1940,0.10591054095367054
1941,0.1274004113274349
1942,0.1404264342659581
1943,0.14029349146587314
1944,0.1527065777041288
1945,0.15690450391152544
1946,0.16330263432485087
1947,0.16627710134245588
1948,0.16949251471927043
1949,0.1733093033474276
1950,0.15313139546017931
1951,0.18893109725809196
1952,0.2029568194479909
1953,0.19844093468299465
1954,0.21467577628625537
1955,0.19599765462646848
1956,0.2134794325652675
1957,0.23844480541806512
1958,0.21330651449986304
1959,0.21174081417744248
1960,0.19281284395130352
1961,0.15371099480447087
1962,0.13712751790386837
1963,0.11645731308813277
1964,0.09485226890805604
1965,0.09288337064142405
1966,0.10094793570306364
1967,0.10472488894980843
1968,0.09051102496919378
1969,0
1870,0
1871,0.006680563175937328
1872,-0.007589686610099784
1873,0.007087179912307622
1874,0.05161292549692602
1875,0.054247460168177955
1876,0.06304653602129356
1877,0.07969475345255438
1878,0.042030226235658864
1879,0.07067548604883785
1880,0.08971661165628429
1881,0.06254313145937541
1882,0.06593057701709201
1883,0.0729937789308421
1884,0.09137655015875372
1885,0.0889385183048605
1886,0.09991312284886246
1887,0.13474827894888364
1888,0.11218407974295883
1889,0.13637527128690655
1890,0.13438080993973092
1891,0.14772343445437952
1892,0.15634565944607937
1893,0.15687421649634475
1894,0.18220181230374308
1895,0.1830365974237513
1896,0.21239181392723266
1897,0.216518082429049
1898,0.22065087196968064
1899,0.25497535697428425
1900,0.257545629969878
1901,0.2562664707731221
1902,0.2783268462034053
1903,0.2933936340545735
1904,0.2993952509588669
1905,0.29747830081068394
1906,0.31507474363393717
1907,0.30267509654071256
1908,0.3123089914338102
1909,0.3188474889007116
1910,0.3077931812029289
1911,0.29406925752363966
1912,0.301647876188967
1913,0.2858764817148084
1914,0.31249914815038715
1915,0.3058598428903601
1916,0.25122959985292653
1917,0.36187579769130823
1918,0.3064163162648357
1919,0.2669798661103904
1920,0.3001190903774607
1921,0.2827492193799566
1922,0.286308626720309
1923,0.2611723272504674
1924,0.2746855858507572
1925,0.2683278974033306
1926,0.26099208169788757
1927,0.2749805343098656
1928,0.25029880161557544
1929,0.23926030996844724
1930,0.23603427673412514
1931,0.20821722526256187
1932,0.20676026360763566
1933,0.18211856839905383
1934,0.17518108896729004
1935,0.13118232074103653
1936,0.12679663410929512
1937,0.11328137351591888
1938,0.10353331160823012
1939,0.11130569878624978
1940,0.10308574370258551
1941,0.12308052919719381
1942,0.13227809320084613
1943,0.13604670676036523
1944,0.1560944214320661
1945,0.15975196313905446
1946,0.17780562211888024
1947,0.16838839061668717
1948,0.1801022034692192
1949,0.19458963285329026
1950,0.18748908307517648
1951,0.20562985074554355
1952,0.2126993233990894
1953,0.20708478754570944
1954,0.21381465987926326
1955,0.213849370885096
1956,0.24519583448029966
1957,0.21292029194718678
1958,0.2157565593615117
1959,0.20625498319376523
1960,0.18020012223289894
1961,0.16271709322620548
1962,0.11364956372458564
1963,0.11690268048119146
1964,0.08172654527773919
1965,0.09722460765972026
1966,0.07271127483940756
1967,0.07848215151844137
1968,0.05981276396302664
1969,0
1870,0
1871,0.00832961880502285
1872,0.001117974949493469
1873,0.003968666440486291
1874,0.04522421573553743
1875,0.05333318389143861
1876,0.058602633562741
1877,0.06697367770829121
1878,0.027510505694825306
1879,0.054494941956419456
1880,0.07547487395095603
1881,0.04166447710039121
1882,0.05400147875687545
1883,0.05561330529365412
1884,0.06354761780736498
1885,0.06940360116903081
1886,0.09475704814772502
1887,0.11094230064999235
1888,0.09627072975652007
1889,0.11749693734827577
1890,0.12245940548872086
1891,0.1188834356134597
1892,0.14541428449067353
1893,0.13618202552241165
1894,0.15825308063684404
1895,0.18304882492251845
1896,0.19363968760552897
1897,0.18351326764194364
1898,0.22275728655169127
1899,0.23348302205653768
1900,0.24060255090963764
1901,0.25388888721504216
1902,0.2632538277338289
1903,0.27427387165906403
1904,0.2780097794028449
1905,0.28123425306887206
1906,0.2921626618749746
1907,0.27809428131193187
1908,0.28780695314842
1909,0.29917980229847396
1910,0.28856411956504174
1911,0.2808602960299332
1912,0.2751187767970656
1913,0.2755327870192597
1914,0.290245679856746
1915,0.2830827484284325
1916,0.2426903003443431
1917,0.33892211419006285
1918,0.290074304762736
1919,0.2541064743044439
1920,0.27926367813745084
1921,0.264876432644309
1922,0.2706202451323997
1923,0.2495202323959798
1924,0.24981900702432558
1925,0.26547311617655917
1926,0.23689142336617483
1927,0.2355635308125929
1928,0.2578865746367953
1929,0.24312656132874358
1930,0.21965252087830275
1931,0.20215236863761218
1932,0.18943172913977208
1933,0.1697929375127837
1934,0.14386452410808206
1935,0.13464177201127087
1936,0.11789021725539321
1937,0.10224257034303907
1938,0.09036516664229083
1939,0.0774113763723535
1940,0.08651650430546788
1941,0.10435338563782216
1942,0.11651934338823154
1943,0.12135152389481806
1944,0.1300534246171985
1945,0.15146488772238048
1946,0.1564137290794675
1947,0.14032461182817263
1948,0.16082476469321846
