"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"apc",0.529,0.015,5,3.64418021279361e-95,0,14,"apc",20
"cbd",0,0,10,4.02196848326197e-79,0,14,"apc",20
"cbd",0.243,0,5,4.02196848326197e-79,0,14,"apc",20
"cbd",0,0,1,4.02196848326197e-79,0,14,"apc",20
"lc",0,0,1,7.95519989280026e-160,0,14,"apc",20
"lc",0,0,5,7.95519989280026e-160,0,14,"apc",20
"lc",0,0,10,7.95519989280026e-160,0,14,"apc",20
"m6",0.22,0.985,5,1,0,14,"apc",20
"m6",0,0,10,1,0,14,"apc",20
"m6",1,0.998,1,1,0,14,"apc",20
"rh",0,0,1,3.61692984117468e-127,0,14,"apc",20
"rh",0.007,0,5,3.61692984117468e-127,0,14,"apc",20
"rh",0,0,10,3.61692984117468e-127,0,14,"apc",20
"apc",0.887,1,10,2.10110727855346e-90,0,15,"apc",20
"apc",0.41,0.622,1,2.10110727855346e-90,0,15,"apc",20
"apc",0.873,1,5,2.10110727855346e-90,0,15,"apc",20
"cbd",0.002,0,10,4.68492650239269e-75,0,15,"apc",20
"cbd",0,0,5,4.68492650239269e-75,0,15,"apc",20
"cbd",0,0,1,4.68492650239269e-75,0,15,"apc",20
"lc",0.183,0,1,9.7078809404078e-139,0,15,"apc",20
"lc",0.074,0,5,9.7078809404078e-139,0,15,"apc",20
"lc",0,0,10,9.7078809404078e-139,0,15,"apc",20
"m6",0,0,5,1,0,15,"apc",20
"m6",0.11,0,10,1,0,15,"apc",20
"m6",0.407,0.376,1,1,0,15,"apc",20
"rh",0,0.002,1,1.93144254185244e-116,0,15,"apc",20
"rh",0.053,0,5,1.93144254185244e-116,0,15,"apc",20
"rh",0,0,10,1.93144254185244e-116,0,15,"apc",20
"apc",0.961,1,10,2.22648525824531e-90,0,16,"apc",20
"apc",0,0.102,1,2.22648525824531e-90,0,16,"apc",20
"apc",0,0,5,2.22648525824531e-90,0,16,"apc",20
"cbd",0.006,0,10,3.09309740855081e-75,0,16,"apc",20
"cbd",0.181,0,5,3.09309740855081e-75,0,16,"apc",20
"cbd",0,0,1,3.09309740855081e-75,0,16,"apc",20
"lc",0.241,0.003,1,1.05075211664746e-137,0,16,"apc",20
"lc",0.146,0,5,1.05075211664746e-137,0,16,"apc",20
"lc",0,0,10,1.05075211664746e-137,0,16,"apc",20
"m6",0.478,1,5,1,0,16,"apc",20
"m6",0.033,0,10,1,0,16,"apc",20
"m6",0.758,0.833,1,1,0,16,"apc",20
"rh",0.001,0.062,1,4.26294611943237e-117,0,16,"apc",20
"rh",0.196,0,5,4.26294611943237e-117,0,16,"apc",20
"rh",0,0,10,4.26294611943237e-117,0,16,"apc",20
"apc",0.984,1,10,5.72861104086659e-83,0,17,"apc",20
"apc",1,0.79,1,5.72861104086659e-83,0,17,"apc",20
"apc",0.603,0.997,5,5.72861104086659e-83,0,17,"apc",20
"cbd",0,0,10,7.46268629513368e-65,0,17,"apc",20
"cbd",0.326,0,5,7.46268629513368e-65,0,17,"apc",20
"cbd",0,0,1,7.46268629513368e-65,0,17,"apc",20
"lc",0,0,1,3.87719613144083e-141,0,17,"apc",20
"lc",0.07,0,5,3.87719613144083e-141,0,17,"apc",20
"lc",0,0,10,3.87719613144083e-141,0,17,"apc",20
"m6",0,0.003,5,1,0,17,"apc",20
"m6",0.016,0,10,1,0,17,"apc",20
"m6",0,0.21,1,1,0,17,"apc",20
"rh",0,0,1,8.38434476433607e-112,0,17,"apc",20
"rh",0,0,5,8.38434476433607e-112,0,17,"apc",20
"rh",0,0,10,8.38434476433607e-112,0,17,"apc",20
"apc",1,1,10,6.52940358719672e-89,0,18,"apc",20
"apc",0,0.022,1,6.52940358719672e-89,0,18,"apc",20
"apc",0.75,1,5,6.52940358719672e-89,0,18,"apc",20
"cbd",0,0,10,2.31650538498832e-76,0,18,"apc",20
"cbd",0.244,0,5,2.31650538498832e-76,0,18,"apc",20
"cbd",0,0,1,2.31650538498832e-76,0,18,"apc",20
"lc",0.101,0,1,1.98523104014532e-153,0,18,"apc",20
"lc",0.006,0,5,1.98523104014532e-153,0,18,"apc",20
"lc",0,0,10,1.98523104014532e-153,0,18,"apc",20
"m6",0,0,5,1,0,18,"apc",20
"m6",0,0,10,1,0,18,"apc",20
"m6",0.88,0.904,1,1,0,18,"apc",20
"rh",0.019,0.074,1,1.97782469306195e-119,0,18,"apc",20
"rh",0,0,5,1.97782469306195e-119,0,18,"apc",20
"rh",0,0,10,1.97782469306195e-119,0,18,"apc",20
"apc",1,1,10,6.14076510532465e-90,0,19,"apc",20
"apc",0,0.043,1,6.14076510532465e-90,0,19,"apc",20
"apc",0.94,1,5,6.14076510532465e-90,0,19,"apc",20
"cbd",0,0,10,7.6265602586304e-82,0,19,"apc",20
"cbd",0.06,0,5,7.6265602586304e-82,0,19,"apc",20
"cbd",0,0,1,7.6265602586304e-82,0,19,"apc",20
"lc",0.401,0.014,1,3.57228017172629e-144,0,19,"apc",20
"lc",0,0,5,3.57228017172629e-144,0,19,"apc",20
