x,a_x
65,-3.6252766888104513
66,-3.5239449222890906
67,-3.450586988652216
68,-3.3563413352456783
69,-3.2584913388154346
70,-3.164624549954184
71,-3.075979678695466
72,-2.9825455998973105
73,-2.8862668477272484
74,-2.7911765573811187
75,-2.698985209621329
76,-2.606533198980725
77,-2.5019933950206323
78,-2.4027001671111172
79,-2.296687181274173
80,-2.2061530143296504
81,-2.1124450313488325
82,-2.0174809204142496
83,-1.9166709895969163
84,-1.812482505828204
85,-1.7105446329180998
86,-1.619702001546153
87,-1.5015629295665323
88,-1.425765946808605
89,-1.3386226510105796
90,-1.2259267330439314
50,-5.043764134253528
51,-4.952468480688354
52,-4.854904247033979
53,-4.756368536827635
54,-4.668514393246925
55,-4.574267053753884
56,-4.466755700394978
57,-4.363762983318762
58,-4.281909094629881
59,-4.1798052245827995
60,-4.084657644865775
61,-3.9910317714796095
62,-3.901488811751474
63,-3.8183493639508734
64,-3.7181291335575524
65,-3.6216771448786793
66,-3.528608808399977
67,-3.4552662480211866
68,-3.349297141811936
69,-3.2503763886790247
70,-3.1555970771911963
71,-3.078348548923938
72,-2.979075747007925
73,-2.8860086942005077
74,-2.800689152765105
75,-2.700857518060403
76,-2.5948498750977826
77,-2.4962713070165785
78,-2.3989874435764107
79,-2.3028299337312874
80,-2.2008844859038272
81,-2.116816446865155
82,-2.01815554005549
83,-1.9151705920586861
84,-1.8181104008161277
85,-1.7109424368578552
86,-1.6125554677993088
87,-1.5194699083968168
88,-1.429144741845366
89,-1.3255823324453806
90,-1.2242982362883401
50,-5.041300077411746
51,-4.948249256096877
52,-4.857395404069783
53,-4.746546378518892
54,-4.67426679567899
55,-4.577132368219518
56,-4.46567060335674
57,-4.354215544291525
58,-4.2780550668465365
59,-4.181728097078785
60,-4.074452711899205
61,-3.988246699527249
62,-3.892017432496051
63,-3.8193253585484856
64,-3.711167502401626
65,-3.611218011143317
66,-3.5291396711081346
67,-3.4471451974820218
68,-3.351347927345442
69,-3.253021628910616
70,-3.155038833589779
71,-3.079101991939883
72,-2.980211712029901
73,-2.883408739220051
74,-2.800857323998166
75,-2.7114017812715288
76,-2.591787484746985
77,-2.492812206776508
78,-2.404785813227544
79,-2.305265393871407
80,-2.2014645668284714
81,-2.1181888666401694
82,-2.01664977574952
83,-1.9174762660816225
84,-1.816726918492638
85,-1.71857830372542
86,-1.6031194410301486
87,-1.5119796630271973
88,-1.4270486523201222
89,-1.3328914521061066
90,-1.2336509240833864
50,-5.027263454369546
51,-4.932387939505402
52,-4.84428961263394
53,-4.729783916977419
54,-4.655407335265454
55,-4.553164748317792
56,-4.452858587142251
57,-4.3445147499119035
58,-4.255455279863674
59,-4.1612178885486335
60,-4.067518667486462
61,-3.9753627826938303
62,-3.8731671080155587
63,-3.789690054051225
64,-3.704834424975117
65,-3.6129033947324927
66,-3.5048645553573934
67,-3.4292700608660933
68,-3.3348795710761285
69,-3.2360917908662494
70,-3.1464653379717595
71,-3.0509739579824893
72,-2.9555078067864646
73,-2.8726610759544062
74,-2.773311451301589
75,-2.6632188411799222
76,-2.582229458104173
77,-2.484910546238789
78,-2.3800747316190627
79,-2.2727201836073525
80,-2.184428085360635
81,-2.086832743614686
82,-1.9979744670912978
83,-1.8880806237872705
84,-1.7900022691196262
85,-1.6784142625295306
86,-1.6035224361265996
87,-1.4863353149243406
88,-1.400651375931556
89,-1.3034166449791107
90,-1.202551890725145
50,-5.0443446635380775
51,-4.930343707922027
52,-4.849628057725388
53,-4.735005347521571
54,-4.661473700300041
55,-4.561250398337173
56,-4.460416721856876
57,-4.354662324584329
58,-4.262620127548342
59,-4.170260510435085
60,-4.075079920013644
61,-3.984486287966455
62,-3.8807149268326304
63,-3.797087936923878
64,-3.7115402424778887
65,-3.619633926152377
66,-3.510698521108719
67,-3.4352808768679357
68,-3.342452809050892
69,-3.24212585945763
70,-3.1470844779217724
71,-3.059172300143611
72,-2.9574843136012787
73,-2.8745381650866584
74,-2.780463931909293
75,-2.666137287891358
76,-2.580566399532892
77,-2.4870262595421195
78,-2.3776440116521407
79,-2.2767228437937512
80,-2.186408920247631
81,-2.087204549691338
82,-1.9986329185352745
83,-1.8877860860872848
84,-1.7845365437621683
85,-1.6759483975671625
86,-1.6026835180096044
87,-1.4867044102396574
88,-1.4006369818271727
89,-1.3033613346808417
90,-1.2034990509067895
50,-5.044806918423217
51,-4.943386168323301
52,-4.845974765227952
53,-4.747628766985263
54,-4.659410746542124
55,-4.545686690745157
56,-4.462839295265201
57,-4.359558413252444
58,-4.268989434787337
59,-4.167504272815704
60,-4.0585033946791205
61,-3.9761416359369184
62,-3.8815686001623795
63,-3.809534157793763
64,-3.7013837031442787
65,-3.5996225298370494
66,-3.51114073642181
67,-3.4318280815704703
68,-3.3350044558379146
69,-3.231183240144857
70,-3.145321238410883
71,-3.056254873950194
72,-2.958940620376057
73,-2.8683940486599386
74,-2.7760393956295406
75,-2.6914303563515327
76,-2.5783174944215297
77,-2.477249141091393
78,-2.3905896240156475
79,-2.286515315595063
80,-2.181277517576434
81,-2.098347973171916
82,-1.9865921758556075
83,-1.897099427639593
84,-1.8008528311481684
85,-1.6985905905314231
86,-1.5844234187232433
87,-1.4928525315324197
88,-1.3995713580571079
89,-1.3084851859697375
90,-1.199371476704
50,-5.043671550503634
51,-4.935245628234642
52,-4.85197346574625
53,-4.73369349376086
54,-4.657393726870296
55,-4.560089913450426
56,-4.460001822722132
57,-4.350944476587505
58,-4.260533820191658
59,-4.168302172353002
60,-4.061797214581648
61,-3.9862506948206873
62,-3.8763756498184287
63,-3.7895565950375905
64,-3.7107701308369294
65,-3.6059432400871625
66,-3.5101305926558264
67,-3.431255980498095
68,-3.348376505301599
69,-3.241164464125112
70,-3.1443283692949437
71,-3.0515185288835496
72,-2.9623460480139174
73,-2.866403780426818
74,-2.774825272797467
75,-2.673323215134215
76,-2.5762421414386587
77,-2.4843547758872426
78,-2.3845560540704467
79,-2.284152006599492
80,-2.192745410151178
81,-2.091070968085957
82,-1.9951685840386486
83,-1.887224967700237
84,-1.78867032807527
85,-1.6739711213505217
86,-1.5952314409596489
87,-1.4906838319688844
88,-1.408194317888617
89,-1.3022945886884822
90,-1.1937233478088873
50,-5.0395563921908915
51,-4.938205976353857
52,-4.855954866472014
53,-4.73897565879735
54,-4.655573577474021
55,-4.574613793117143
56,-4.468778870763847
57,-4.3668644067460685
58,-4.257449209244957
59,-4.17136412866469
60,-4.0740649617139795
61,-3.9850952177749015
62,-3.8868797442853165
63,-3.8142712345698535
64,-3.7113171181102156
65,-3.615998698888797
66,-3.517666682987036
67,-3.4426230703926834
68,-3.3313939009876057
69,-3.2418919709410363
70,-3.1524451085631444
71,-3.069825152217106
72,-2.9656132416630814
73,-2.88452277693337
74,-2.7886847985090233
75,-2.697160446929321
76,-2.5899234137085103
77,-2.4884726077028363
78,-2.3974924471042542
79,-2.2923743016863534
80,-2.186936588657128
81,-2.1045101431523072
82,-2.0016797002687676
83,-1.9075359963058784
84,-1.8070814672006488
85,-1.707435167350003
86,-1.6012105667843815
87,-1.4950124545783374
88,-1.4099152672995425
89,-1.3243494758529277
90,-1.2135482197780416
50,-5.024885019517674
51,-4.936132636409024
52,-4.838417563578415
53,-4.740715079764762
54,-4.635280792466202
55,-4.563766984137913
56,-4.455557215855084
57,-4.3634149559267685
58,-4.258083144811073
59,-4.166782557954597
60,-4.074931170249908
61,-3.9849324910315933
62,-3.8811894194367214
63,-3.8072976628111475
64,-3.713892417359377
65,-3.613431646020307
66,-3.5165454899526067
67,-3.444195732716955
68,-3.34439243869551
69,-3.2450271767023637
70,-3.152944943508203
71,-3.0783000990145934
72,-2.968480220318652
73,-2.886264434036615
74,-2.786622155001408
75,-2.703953397762134
76,-2.5872785528076534
77,-2.489013743542047
78,-2.3979053791136073
79,-2.2942798051690083
80,-2.1866245024812323
81,-2.1034208460946977
82,-2.0001068069364987
83,-1.9082632720079662
84,-1.806236919252288
85,-1.7017570836745166
86,-1.6004635485540195
87,-1.4988752301203678
88,-1.414658731673697
89,-1.3149510864403073
90,-1.212093414109431
50,-5.003225640474971
51,-4.911101129342668
52,-4.822166261591807
53,-4.7204725910948895
54,-4.630885331144431
55,-4.53011496089648
56,-4.440323569040408
57,-4.3448068347317275
58,-4.2497233845118805
59,-4.150501343323047
60,-4.055065542489188
61,-3.969009035388528
62,-3.88018998579019
63,-3.7918212450942783
64,-3.69384406491985
65,-3.6024212459525216
66,-3.5079438960885816
67,-3.4273761700182517
68,-3.3373031373739215
69,-3.2384619723375576
70,-3.1433361307855487
71,-3.05679927198182
72,-2.9626624427371375
73,-2.8688910844339834
74,-2.7757386085504008
75,-2.6740456405090933
76,-2.587773162280432
77,-2.48713197505993
78,-2.3916508659708113
79,-2.300222611562558
80,-2.2006234594411618
81,-2.1073319701630635
82,-2.005720686223687
83,-1.9076835498799962
84,-1.8098566922325956
85,-1.7002459894466653
86,-1.6087782216593534
87,-1.5123249595002153
88,-1.420066191795996
89,-1.3175421065479491
90,-1.2229413257618902
50,-5.020560483298611
51,-4.910695111981363
52,-4.827781080448753
53,-4.72155748487917
54,-4.641292228359489
