t,k_t
1966,0.02131061235299301
1967,0.0013892693495690131
1968,0.010577911430080904
1969,0.04052367683937981
1970,0.039020578186984435
1971,-0.00508384772743603
1972,-0.009552922754025521
1973,-0.030414189422667416
1974,-0.048496324986628585
1975,-0.06435669422897972
1976,-0.04778041622320294
1977,-0.0665797116654672
1978,-0.12471384059337692
1979,-0.12528563584941066
1980,-0.1631568319635323
1981,-0.15205093307654538
1982,-0.18779368529821064
1983,-0.19537327481119157
1984,-0.20316880060812886
1985,-0.22907158683996914
1986,-0.22788457244743932
1987,-0.26415871672845964
1988,-0.3189373888757204
1989,-0.3383921627270027
1990,-0.33339367168458567
1991,-0.3712598223983804
1992,-0.3906788756095228
1993,-0.396729321029817
1994,-0.37796539038395777
1995,-0.42043589079052496
1996,-0.4312779472908503
1997,-0.43423225435747
1998,-0.4542573310482704
1999,-0.46415055382277154
2000,-0.4726784777832953
2001,-0.4794968938989125
2002,-0.5188011021321294
2003,-0.5193747079099651
2004,-0.5318403548263325
2005,-0.5874534805880005
2006,-0.5959644927999397
2007,-0.6296200675873813
2008,-0.6584856546578459
2009,-0.6531130180465236
2010,-0.6635878571613042
2011,-0.6850992026825007
2012,-0.7233260160468931
2013,-0.7160118098027103
2014,-0.7176586958768028
2015,-0.775062378977612
2016,-0.7590688747774137
2017,-0.7871012528428215
2018,-0.8024095930468671
2019,-0.8243903451878714
1960,0
1961,0.07786017237478088
1962,0.004715546995365136
1963,0.050089417977722574
1964,0.08097461812791149
1965,0.0031683609670311126
1966,0.025851755901576717
1967,0.021568833132112396
1968,0.005983413064875696
1969,0.046130008395754804
1970,0.03625801547366368
1971,0.01623910664020071
1972,0.0011777125503975403
1973,-0.017693135245240032
1974,-0.04456598439066727
1975,-0.06063931892660105
1976,-0.046233337014988544
1977,-0.0627957092802511
1978,-0.11768892089169714
1979,-0.11939038523622157
1980,-0.15229371811087475
1981,-0.1559269832917735
1982,-0.17939673457227573
1983,-0.1839858023016912
1984,-0.19834215980533443
1985,-0.22628748783323904
1986,-0.22396177945870482
1987,-0.24789279385846572
1988,-0.3073102107104788
1989,-0.3330785438501762
1990,-0.3335112926852728
1991,-0.3663877287091683
1992,-0.3793071213150766
1993,-0.3880279558834734
1994,-0.39452358456569386
1995,-0.4265757318271275
1996,-0.4036669394247382
1997,-0.4296414785329124
1998,-0.4591749882051752
1999,-0.4668848881505667
2000,-0.47625091732730646
2001,-0.47867898464921116
2002,-0.5117633201287043
2003,-0.5132611874746732
2004,-0.5253553806686235
2005,-0.580306226072231
2006,-0.5883282853100339
2007,-0.6279009084526831
2008,-0.650411027343919
2009,-0.6369299698121182
2010,-0.6663138932646897
2011,-0.6820713367930488
2012,-0.7089720377452094
2013,-0.6854925432150153
2014,-0.7141490020451424
2015,-0.7696964234293825
2016,-0.7711935199402304
2017,-0.7922728550027061
2018,-0.8070812141694985
2019,-0.806783644469143
1960,0
1961,0.0854789120360825
1962,0.018394839065817833
1963,0.044780311316297616
1964,0.060410819350589444
1965,0.01414925805978102
1966,0.03181422020659879
1967,0.01941928492057172
1968,0.02999336459017607
1969,0.04534517823576201
1970,0.039249772402960244
1971,0.0036850922013560695
1972,-0.0035318243330758657
1973,-0.025524516333829843
1974,-0.020106500927732744
1975,-0.06337029272207277
1976,-0.049429487823730335
1977,-0.05685510608072182
1978,-0.1107462819080615
1979,-0.10807831365833742
1980,-0.14623844498654107
1981,-0.14477001875617398
1982,-0.1727014957630861
1983,-0.20563026364511355
1984,-0.19116225458407682
1985,-0.22445542917659483
1986,-0.22366012437432214
1987,-0.25425076369070276
1988,-0.31107859320406045
1989,-0.32463195776216613
1990,-0.329568374008035
1991,-0.35759099554831286
1992,-0.38975322425668824
1993,-0.38133818847778556
1994,-0.37918834488019165
1995,-0.41456264656183667
1996,-0.4074287369910259
1997,-0.44264822993452885
1998,-0.45374545497427166
1999,-0.4469139289448473
2000,-0.4724490526398038
2001,-0.467473263760498
2002,-0.5041850874544214
2003,-0.5089241096630621
2004,-0.5227948100488105
